Date,Open,High,Low,Close,Volume BTC
2019-11-16,8455.9,8530.0,8430.0,8485.1,1557.17076091
2019-11-17,8487.0,8630.0,8363.5,8503.2,2173.98903092
2019-11-18,8503.2,8503.2,8030.0,8170.1,5103.11313161
2019-11-19,8168.8,8198.7,7987.2,8122.1,3917.41024362
2019-11-20,8124.9,8220.0,8030.0,8083.1,3329.92013303
2019-11-21,8083.1,8116.5,7399.0,7619.1,7275.88164828
2019-11-22,7619.1,7719.3,6761.0,7284.8,13608.74536290
2019-11-23,7284.7,7339.9,7105.2,7322.6,3450.73182725
2019-11-24,7322.5,7344.0,6836.9,6903.9,5289.08708673
2019-11-25,6903.9,7372.6,6525.0,7127.8,11883.52113364
2019-11-26,7125.8,7340.0,7025.0,7161.6,5289.89588850
2019-11-27,7161.6,7676.9,6854.5,7525.9,10280.36034579
2019-11-28,7523.8,7654.0,7373.2,7427.9,5151.04888594
2019-11-29,7427.9,7867.5,7412.4,7756.8,5710.64889357
2019-11-30,7756.6,7810.0,7452.1,7558.9,3783.84486788
2019-12-01,7558.9,7558.9,7228.8,7398.4,5458.62057674
2019-12-02,7398.3,7426.7,7160.1,7305.8,4088.18681186
2019-12-03,7304.0,7410.0,7245.0,7294.1,2968.67134190
2019-12-04,7299.5,7800.6,7068.2,7190.5,8221.35626433
2019-12-05,7196.2,7488.8,7157.9,7394.0,5740.72927962
2019-12-06,7395.0,7611.3,7311.0,7545.7,4660.87827212
2019-12-07,7546.3,7630.0,7491.3,7509.2,1904.40188544
2019-12-08,7507.2,7583.1,7400.0,7521.0,2035.40111552
2019-12-09,7518.7,7666.0,7256.7,7334.5,6674.37114463
2019-12-10,7334.5,7398.0,7160.0,7219.3,3914.44131465
2019-12-11,7218.7,7273.8,7125.0,7202.0,2841.93672577
2019-12-12,7201.9,7294.9,7077.0,7190.1,4286.99055883
2019-12-13,7190.2,7300.0,7182.7,7251.9,2900.50069874
2019-12-14,7251.9,7272.1,7010.0,7067.5,2770.37930834
2019-12-15,7067.5,7203.0,7010.0,7113.7,2347.93806361
2019-12-16,7112.8,7140.0,6800.0,6876.7,5102.80519991
2019-12-17,6877.4,6939.0,6563.0,6611.1,6131.25752861
2019-12-18,6612.9,7488.2,6430.2,7287.9,11212.51153387
2019-12-19,7293.4,7379.8,7045.0,7149.8,5337.33561706
2019-12-20,7150.5,7218.0,7076.7,7191.5,3440.04081588
2019-12-21,7191.6,7191.6,7117.6,7143.5,1353.22286945
2019-12-22,7143.5,7526.9,7124.0,7510.0,4534.82935907
2019-12-23,7510.1,7690.5,7265.0,7324.0,7541.52758700
2019-12-24,7315.2,7420.4,7160.0,7253.3,4866.13430740
2019-12-25,7252.9,7271.8,7116.1,7192.1,3360.65679731
2019-12-26,7193.0,7428.9,7150.0,7195.5,3667.03100747
2019-12-27,7196.4,7255.0,6934.8,7246.4,3927.39409090
2019-12-28,7246.6,7350.0,7234.9,7300.1,2522.15801625
2019-12-29,7300.6,7531.4,7280.0,7391.0,3018.85255099
2019-12-30,7383.4,7383.4,7200.0,7209.7,3737.33575952
2019-12-31,7216.4,7301.1,7110.0,7168.3,2652.13508878
2020-01-01,7168.3,7235.0,7150.0,7174.4,1827.63489373
2020-01-02,7174.4,7185.8,6915.0,6942.3,4057.33154562
2020-01-03,6943.4,7397.3,6860.0,7334.8,8120.49140472
2020-01-04,7333.2,7396.4,7260.0,7350.2,2912.37313055
2020-01-05,7350.2,7493.3,7301.1,7346.9,2904.09349400
2020-01-06,7347.2,7800.0,7339.2,7757.3,5994.07494460
2020-01-07,7760.0,8252.5,7727.1,8160.0,10390.75619972
2020-01-08,8160.3,8464.3,7875.0,8043.3,12263.42855540
2020-01-09,8043.3,8043.7,7749.9,7818.0,6127.63939749
2020-01-10,7818.1,8191.9,7666.3,8191.9,8032.13512482
2020-01-11,8191.9,8319.5,7999.3,8026.2,4806.77769559
2020-01-12,8023.3,8185.0,7951.2,8177.3,2330.06754714
2020-01-13,8177.3,8188.8,8036.8,8104.0,2714.88825152
2020-01-14,8104.1,8892.0,8104.1,8815.5,15537.34136256
2020-01-15,8815.5,8900.0,8560.0,8810.3,8031.77698958
2020-01-16,8808.4,8846.2,8579.4,8717.8,4960.81372289
2020-01-17,8717.9,9004.0,8657.7,8901.5,8148.70639247
2020-01-18,8898.5,8975.0,8810.0,8907.7,3915.30406409
2020-01-19,8905.3,9185.0,8470.0,8705.8,8532.30267690
2020-01-20,8705.8,8731.9,8510.0,8629.4,3779.49236180
2020-01-21,8628.7,8782.2,8333.0,8723.3,4521.51907233
2020-01-22,8723.3,8795.0,8565.4,8659.0,3097.91256918
2020-01-23,8658.9,8662.1,8281.0,8390.1,5865.70003157
2020-01-24,8390.1,8505.5,8215.2,8426.8,4582.86030911
2020-01-25,8426.8,8427.8,8253.3,8325.0,2513.01012983
2020-01-26,8325.1,8601.9,8285.0,8592.7,3516.66680936
2020-01-27,8599.3,8979.0,8565.0,8891.8,6287.21715108
2020-01-28,8891.8,9420.7,8873.9,9399.9,8030.84078641
2020-01-29,9395.0,9438.3,9222.6,9280.9,5598.64605243
2020-01-30,9281.2,9568.1,9060.0,9500.0,8016.28534864
2020-01-31,9500.5,9520.0,9200.0,9339.3,4869.46275806
2020-02-01,9337.1,9453.9,9283.5,9377.1,1680.52574219
2020-02-02,9377.0,9473.1,9150.0,9322.2,3269.38968378
2020-02-03,9322.2,9610.0,9225.0,9281.0,4995.34829891
2020-02-04,9280.8,9348.7,9078.8,9159.3,3809.73133955
2020-02-05,9159.3,9765.0,9150.2,9616.2,6914.05347554
2020-02-06,9612.8,9853.0,9520.0,9754.7,5888.03835585
2020-02-07,9754.7,9883.6,9715.0,9799.6,3687.00812773
2020-02-08,9799.6,9942.0,9658.0,9904.3,3479.91913592
2020-02-09,9901.6,10180.0,9887.4,10160.1,4824.28468491
2020-02-10,10159.1,10200.0,9760.0,9850.1,5740.53752184
2020-02-11,9850.1,10409.2,9707.0,10273.2,7498.78791986
2020-02-12,10271.6,10486.9,10218.0,10354.6,6776.93755974
2020-02-13,10352.6,10516.6,10060.3,10241.6,7307.31061568
2020-02-14,10241.6,10390.0,10097.4,10370.8,3567.75073529
2020-02-15,10369.5,10400.0,9766.9,9904.6,3626.96333990
2020-02-16,9904.5,10046.8,9632.0,9923.9,3239.16987186
2020-02-17,9921.1,9961.5,9476.4,9702.1,4759.25765662
2020-02-18,9702.2,10281.0,9615.0,10180.0,4946.63002769
2020-02-19,10180.3,10300.0,9346.0,9602.2,6771.75337086
2020-02-20,9602.0,9704.9,9350.0,9610.7,4154.07286871
2020-02-21,9608.5,9771.4,9562.8,9698.2,2778.86679125
2020-02-22,9696.8,9717.6,9575.0,9671.5,1028.00120476
2020-02-23,9670.0,10022.0,9666.0,9966.1,2462.42622628
2020-02-24,9967.5,10022.8,9485.0,9664.6,4234.87059293
2020-02-25,9661.8,9677.4,9244.0,9309.5,4373.89747117
2020-02-26,9307.7,9365.6,8645.0,8783.5,8419.18472364
2020-02-27,8783.3,8968.0,8516.3,8810.3,4871.47143515
2020-02-28,8814.5,8895.0,8439.3,8715.5,5456.72459924
2020-02-29,8706.8,8795.0,8526.6,8529.1,2241.96592406
2020-03-01,8526.1,8750.0,8405.0,8530.0,3134.04788956
2020-03-02,8518.8,8965.0,8486.9,8924.7,4758.56506701
2020-03-03,8918.4,8924.1,8662.5,8752.8,3892.82816455
2020-03-04,8756.6,8844.0,8670.4,8758.7,3140.28034020
2020-03-05,8758.4,9170.0,8758.4,9066.0,4762.43290995
2020-03-06,9065.8,9175.0,9001.9,9154.9,3664.43951004
2020-03-07,9154.8,9213.0,8856.0,8899.5,2985.57244616
2020-03-08,8891.1,8891.1,8003.1,8035.6,7188.98135068
2020-03-09,8039.8,8185.0,7634.3,7927.8,9972.59475142
2020-03-10,7929.1,8153.5,7735.0,7886.9,7321.23320851
2020-03-11,7889.6,7986.1,7589.0,7943.3,6679.27569715
